physical_corridor,train_number,day,departure_seconds,arrival_seconds,day_of_week,slot_in_day,slot
CORR_BDI|TRW,18402,2,14940.0,15300.0,2,3,11
CORR_BDI|BSL,18402,2,15300.0,16200.0,2,3,11
CORR_GZB|SBB,14008,1,60600.0,61500.0,1,3,7
CORR_GZB|SBB,14044,1,28260.0,28920.0,1,3,7
CORR_GZB|SBB,12878,1,58920.0,59220.0,1,3,7
CORR_BDI|BSL,12102,2,80700.0,81360.0,2,2,10
CORR_BDI|TRW,12102,2,81360.0,81600.0,2,2,10
CORR_JL|TRW,12102,2,81600.0,82020.0,2,2,10
CORR_BDI|BSL,12906-Slip,2,80700.0,81600.0,2,2,10
CORR_BDI|TRW,12906-Slip,2,81600.0,81900.0,2,2,10
CORR_JL|TRW,12906-Slip,2,81900.0,82440.0,2,2,10
CORR_JL|TRW,22905,2,9660.0,10320.0,2,1,9
CORR_BDI|TRW,22905,2,10320.0,10680.0,2,1,9
CORR_BDI|BSL,22905,2,10680.0,11700.0,2,1,9
CORR_BDI|BSL,15267,2,81900.0,82440.0,2,2,10
CORR_BDI|TRW,15267,2,82440.0,82560.0,2,2,10
CORR_JL|TRW,15267,2,82560.0,82860.0,2,2,10
CORR_BDI|BSL,12742,2,50700.0,51300.0,2,3,11
CORR_BDI|TRW,12742,2,51300.0,51480.0,2,3,11
CORR_JL|TRW,12742,2,51480.0,51840.0,2,3,11
CORR_KYN|THK,12742,2,75600.0,75900.0,2,3,11
CORR_DI|THK,12742,2,75900.0,76020.0,2,3,11
CORR_BDI|BSL,21068,2,49500.0,50100.0,2,3,11
CORR_BDI|TRW,21068,2,50100.0,50340.0,2,3,11
CORR_JL|TRW,21068,2,50340.0,50700.0,2,3,11
CORR_KYN|THK,21068,2,74100.0,74340.0,2,3,11
CORR_DI|THK,21068,2,74340.0,74460.0,2,3,11
CORR_JL|TRW,12149,2,16680.0,17040.0,2,3,11
CORR_BDI|TRW,12149,2,17040.0,17220.0,2,3,11
CORR_BDI|BSL,12149,2,17220.0,17700.0,2,3,11
CORR_DI|THK,11026,1,59820.0,60000.0,1,3,7
CORR_KYN|THK,11026,1,60000.0,60300.0,1,3,7
CORR_KYN|THK,17204,2,17400.0,17700.0,2,3,11
CORR_DI|THK,17204,2,17700.0,17880.0,2,3,11
CORR_DI|THK,11401,1,62820.0,62880.0,1,3,7
CORR_KYN|THK,11401,1,62880.0,63000.0,1,3,7
CORR_DI|THK,11061,1,46200.0,46320.0,1,3,7
CORR_KYN|THK,11061,1,46320.0,46500.0,1,3,7
CORR_JL|TRW,11061,1,67800.0,68340.0,1,3,7
CORR_BDI|TRW,11061,1,68340.0,68700.0,1,3,7
CORR_BDI|BSL,11061,1,68700.0,69600.0,1,3,7
CORR_DI|THK,11065,1,46200.0,46320.0,1,3,7
CORR_KYN|THK,11065,1,46320.0,46500.0,1,3,7
CORR_JL|TRW,11065,1,67800.0,68340.0,1,3,7
CORR_BDI|TRW,11065,1,68340.0,68700.0,1,3,7
CORR_BDI|BSL,11065,1,68700.0,69600.0,1,3,7
CORR_BDI|BSL,12136,2,2700.0,3600.0,2,0,8
CORR_BDI|TRW,12136,2,3600.0,3900.0,2,0,8
CORR_JL|TRW,12136,2,3900.0,4380.0,2,0,8
CORR_BDI|BSL,12148,2,600.0,1380.0,2,0,8
CORR_BDI|TRW,12148,2,1380.0,1620.0,2,0,8
CORR_JL|TRW,12148,2,1620.0,2100.0,2,0,8
CORR_GZB|SBB,12350,2,60.0,420.0,2,0,8
CORR_GZB|SBB,15273,2,30420.0,31140.0,2,3,11
CORR_GZB|SBB,19603,2,3300.0,3780.0,2,0,8
CORR_BDI|BSL,12361,2,168300.0,168900.0,2,2,10
CORR_BDI|TRW,12361,2,168900.0,169140.0,2,2,10
CORR_JL|TRW,12361,2,169140.0,169500.0,2,2,10
CORR_GZB|SBB,14013,2,14520.0,15480.0,2,3,11
CORR_BDI|BSL,19050,2,72300.0,73260.0,2,3,11
CORR_BDI|TRW,19050,2,73260.0,73620.0,2,3,11
CORR_JL|TRW,19050,2,73620.0,74220.0,2,3,11
CORR_GZB|SBB,12440,1,58920.0,59220.0,1,3,7
CORR_GZB|SBB,15708,1,56460.0,56760.0,1,3,7
CORR_BDI|BSL,11070,2,49500.0,50100.0,2,3,11
CORR_BDI|TRW,11070,2,50100.0,50340.0,2,3,11
CORR_JL|TRW,11070,2,50340.0,50700.0,2,3,11
CORR_KYN|THK,11070,2,74100.0,74340.0,2,3,11
CORR_DI|THK,11070,2,74340.0,74460.0,2,3,11
CORR_JL|TRW,13202,2,18600.0,19140.0,2,3,11
CORR_BDI|TRW,13202,2,19140.0,19500.0,2,3,11
CORR_BDI|BSL,13202,2,19500.0,20400.0,2,3,11
CORR_GZB|SBB,04203,2,32880.0,34140.0,2,3,11
CORR_GZB|SBB,14205,2,31800.0,32700.0,2,3,11
CORR_GZB|SBB,12506,1,24900.0,25260.0,1,3,7
CORR_GZB|SBB,15715,2,45840.0,46260.0,2,3,11
CORR_GZB|SBB,25715,2,45840.0,46260.0,2,3,11
CORR_DI|THK,16209,2,2400.0,2580.0,2,0,8
CORR_KYN|THK,16209,2,2580.0,3900.0,2,0,8
CORR_DI|THK,16507,2,2460.0,2640.0,2,0,8
CORR_KYN|THK,16507,2,2640.0,3900.0,2,0,8
CORR_BDI|BSL,12834,3,6000.0,7380.0,3,0,12
CORR_BDI|TRW,12834,3,7380.0,7860.0,3,1,13
CORR_JL|TRW,12834,3,7860.0,8640.0,3,1,13
CORR_DI|THK,09405,2,16680.0,16800.0,2,3,11
CORR_KYN|THK,09405,2,16800.0,17100.0,2,3,11
CORR_BDI|BSL,12154,2,1200.0,1860.0,2,0,8
CORR_BDI|TRW,12154,2,1860.0,2040.0,2,0,8
CORR_JL|TRW,12154,2,2040.0,2400.0,2,0,8
CORR_KYN|THK,12154,2,23400.0,23520.0,2,3,11
CORR_DI|THK,12154,2,23520.0,23580.0,2,3,11
CORR_JL|TRW,11037,1,85500.0,86220.0,1,2,6
CORR_GZB|SBB,12555,2,19680.0,20040.0,2,3,11
CORR_GZB|SBB,14724,1,80940.0,81720.0,1,2,6
CORR_GZB|SBB,19325,2,42480.0,43500.0,2,3,11
CORR_GZB|SBB,12329,2,41760.0,42180.0,2,3,11
CORR_GZB|SBB,14311,1,125400.0,126120.0,1,3,7
CORR_GZB|SBB,14321,1,125400.0,126120.0,1,3,7
CORR_DI|THK,15611,1,43140.0,43260.0,1,3,7
CORR_KYN|THK,15611,1,43260.0,43500.0,1,3,7
CORR_JL|TRW,15611,1,67260.0,67620.0,1,3,7
CORR_BDI|TRW,15611,1,67620.0,67800.0,1,3,7
CORR_BDI|BSL,15611,1,67800.0,68400.0,1,3,7
CORR_DI|THK,12143,1,62520.0,62640.0,1,3,7
CORR_KYN|THK,12143,1,62640.0,62940.0,1,3,7
CORR_DI|THK,12261,1,64440.0,64500.0,1,3,7
CORR_KYN|THK,12261,1,64500.0,64680.0,1,3,7
CORR_JL|TRW,12261,1,82500.0,82860.0,1,2,6
CORR_BDI|TRW,12261,1,82860.0,83100.0,1,2,6
CORR_BDI|BSL,12261,1,83100.0,83700.0,1,2,6
CORR_DI|THK,14313,1,30600.0,30660.0,1,3,7
CORR_KYN|THK,14313,1,30660.0,30900.0,1,3,7
CORR_JL|TRW,14313,1,52800.0,53640.0,1,3,7
CORR_BDI|TRW,14313,1,53640.0,54120.0,1,3,7
CORR_BDI|BSL,14313,1,54120.0,55500.0,1,3,7
CORR_DI|THK,15647,1,30600.0,30660.0,1,3,7
CORR_KYN|THK,15647,1,30660.0,30900.0,1,3,7
CORR_JL|TRW,15647,1,54120.0,54540.0,1,3,7
CORR_BDI|TRW,15647,1,54540.0,54780.0,1,3,7
CORR_BDI|BSL,15647,1,54780.0,55500.0,1,3,7
CORR_KYN|THK,11016,3,11700.0,11880.0,3,1,13
CORR_DI|THK,11016,3,11880.0,12000.0,3,1,13
CORR_KYN|THK,11058,3,10500.0,10680.0,3,1,13
CORR_DI|THK,11058,3,10680.0,10800.0,3,1,13
CORR_GZB|SBB,12428,2,1860.0,2820.0,2,0,8
CORR_GZB|SBB,22423,2,35760.0,36060.0,2,3,11
CORR_JL|TRW,05649,2,1740.0,2100.0,2,0,8
CORR_BDI|TRW,05649,2,2100.0,2340.0,2,0,8
CORR_BDI|BSL,05649,2,2340.0,3000.0,2,0,8
CORR_KYN|THK,09222,2,17400.0,17760.0,2,3,11
CORR_DI|THK,09222,2,17760.0,17940.0,2,3,11
CORR_JL|TRW,16126,2,150300.0,150780.0,2,3,11
CORR_BDI|TRW,16126,2,150780.0,151020.0,2,3,11
CORR_BDI|BSL,16126,2,151020.0,151800.0,2,3,11
CORR_GZB|SBB,18478,1,39300.0,40140.0,1,3,7
CORR_GZB|SBB,12379,2,42000.0,42420.0,2,3,11
CORR_GZB|SBB,12439,2,38220.0,38520.0,2,3,11
CORR_DI|THK,16505,2,2520.0,2700.0,2,0,8
CORR_KYN|THK,16505,2,2700.0,4080.0,2,0,8
CORR_DI|THK,16533,2,2820.0,3000.0,2,0,8
CORR_KYN|THK,16533,2,3000.0,3900.0,2,0,8
CORR_BDI|BSL,12574,2,54660.0,55560.0,2,3,11
CORR_BDI|TRW,12574,2,55560.0,55800.0,2,3,11
CORR_JL|TRW,12574,2,55800.0,56340.0,2,3,11
CORR_DI|THK,12107,1,61200.0,61320.0,1,3,7
CORR_KYN|THK,12107,1,61320.0,61500.0,1,3,7
CORR_JL|TRW,12107,1,81000.0,81300.0,1,2,6
CORR_BDI|TRW,12107,1,81300.0,81480.0,1,2,6
CORR_BDI|BSL,12107,1,81480.0,81900.0,1,2,6
CORR_DI|THK,12173,1,61200.0,61320.0,1,3,7
CORR_KYN|THK,12173,1,61320.0,61500.0,1,3,7
CORR_JL|TRW,12173,1,80940.0,81240.0,1,2,6
CORR_BDI|TRW,12173,1,81240.0,81420.0,1,2,6
CORR_BDI|BSL,12173,1,81420.0,81900.0,1,2,6
CORR_DI|THK,04116,1,58980.0,59100.0,1,3,7
CORR_KYN|THK,04116,1,59100.0,59400.0,1,3,7
CORR_DI|THK,18610,1,59040.0,59100.0,1,3,7
CORR_KYN|THK,18610,1,59100.0,59400.0,1,3,7
CORR_JL|TRW,11453,2,13200.0,14040.0,2,1,9
CORR_BDI|TRW,11453,2,14040.0,14520.0,2,1,9
CORR_BDI|BSL,11453,2,14520.0,15900.0,2,3,11
CORR_BDI|BSL,22132,1,81900.0,82560.0,1,2,6
CORR_BDI|TRW,22132,1,82560.0,82800.0,1,2,6
CORR_JL|TRW,22132,1,82800.0,83220.0,1,2,6
CORR_DI|THK,11011,1,76680.0,76740.0,1,3,7
CORR_KYN|THK,11011,1,76740.0,76980.0,1,3,7
CORR_DI|THK,12809,1,77400.0,77520.0,1,3,7
CORR_KYN|THK,12809,1,77520.0,77700.0,1,3,7
CORR_GZB|SBB,14014,1,60600.0,61500.0,1,3,7
CORR_GZB|SBB,14016,1,60600.0,61500.0,1,3,7
CORR_GZB|SBB,12313,2,36420.0,36720.0,2,3,11
CORR_GZB|SBB,14674,1,78540.0,79500.0,1,3,7
CORR_JL|TRW,04116,2,1740.0,2160.0,2,0,8
CORR_BDI|TRW,04116,2,2160.0,2340.0,2,0,8
CORR_BDI|BSL,04116,2,2340.0,3000.0,2,0,8
CORR_DI|THK,12546,1,42600.0,42660.0,1,3,7
CORR_KYN|THK,12546,1,42660.0,42900.0,1,3,7
CORR_JL|TRW,12546,1,64380.0,64680.0,1,3,7
CORR_BDI|TRW,12546,1,64680.0,64860.0,1,3,7
CORR_BDI|BSL,12546,1,64860.0,65400.0,1,3,7
CORR_JL|TRW,12715,1,65400.0,65880.0,1,3,7
CORR_BDI|TRW,12715,1,65880.0,66120.0,1,3,7
CORR_BDI|BSL,12715,1,66120.0,66900.0,1,3,7
CORR_GZB|SBB,12314,1,60120.0,60420.0,1,3,7
CORR_KYN|THK,12526,1,75120.0,75300.0,1,3,7
CORR_DI|THK,12526,1,75300.0,75360.0,1,3,7
CORR_DI|THK,17057,1,79200.0,79320.0,1,2,6
CORR_KYN|THK,17057,1,79320.0,79500.0,1,2,6
CORR_KYN|THK,16210,2,78300.0,78600.0,2,3,11
CORR_DI|THK,16210,2,78600.0,78720.0,2,3,11
CORR_KYN|THK,16508,2,78300.0,78600.0,2,3,11
CORR_DI|THK,16508,2,78600.0,78720.0,2,3,11
CORR_BDI|BSL,12162,2,54600.0,55500.0,2,3,11
CORR_BDI|TRW,12162,2,55500.0,55800.0,2,3,11
CORR_JL|TRW,12162,2,55800.0,56280.0,2,3,11
CORR_KYN|THK,12162,2,78600.0,78780.0,2,3,11
CORR_DI|THK,12162,2,78780.0,78840.0,2,3,11
CORR_KYN|THK,16532,2,78300.0,78600.0,2,3,11
CORR_DI|THK,16532,2,78600.0,78720.0,2,3,11
CORR_GZB|SBB,12488,1,28320.0,29160.0,1,3,7
CORR_GZB|SBB,14681,1,54840.0,55500.0,1,3,7
CORR_GZB|SBB,12287,3,41280.0,42000.0,3,3,15
CORR_GZB|SBB,14017,2,14520.0,15480.0,2,3,11
CORR_DI|THK,09406,2,24660.0,24720.0,2,3,11
CORR_GZB|SBB,14309,2,42960.0,43500.0,2,3,11
CORR_GZB|SBB,19565,2,43080.0,43500.0,2,3,11
CORR_GZB|SBB,14258,1,43620.0,44280.0,1,3,7
CORR_BDI|BSL,11068,2,49500.0,50100.0,2,3,11
CORR_BDI|TRW,11068,2,50100.0,50340.0,2,3,11
CORR_JL|TRW,11068,2,50340.0,50700.0,2,3,11
CORR_KYN|THK,11068,2,74100.0,74340.0,2,3,11
CORR_DI|THK,11068,2,74340.0,74460.0,2,3,11
CORR_DI|THK,12542,1,42540.0,42660.0,1,3,7
CORR_KYN|THK,12542,1,42660.0,42900.0,1,3,7
CORR_JL|TRW,12542,1,67020.0,67500.0,1,3,7
CORR_BDI|TRW,12542,1,67500.0,67740.0,1,3,7
CORR_BDI|BSL,12542,1,67740.0,68400.0,1,3,7
CORR_BDI|BSL,12944,1,83640.0,84420.0,1,2,6
CORR_BDI|TRW,12944,1,84420.0,84660.0,1,2,6
CORR_JL|TRW,12944,1,84660.0,85080.0,1,2,6
CORR_BDI|BSL,12630,2,9000.0,9780.0,2,1,9
CORR_BDI|TRW,12630,2,9780.0,10080.0,2,1,9
CORR_JL|TRW,12630,2,10080.0,10500.0,2,1,9
CORR_JL|TRW,17305,2,43380.0,44160.0,2,3,11
CORR_BDI|TRW,17305,2,44160.0,44580.0,2,3,11
CORR_BDI|BSL,17305,2,44580.0,45900.0,2,3,11
CORR_BDI|BSL,12144,2,74400.0,75000.0,2,3,11
CORR_BDI|TRW,12144,2,75000.0,75240.0,2,3,11
CORR_JL|TRW,12144,2,75240.0,75600.0,2,3,11
CORR_KYN|THK,11092,1,80700.0,80880.0,1,2,6
CORR_DI|THK,11092,1,80880.0,81000.0,1,2,6
CORR_GZB|SBB,12229,2,21900.0,22680.0,2,3,11
CORR_GZB|SBB,14207,2,23280.0,24120.0,2,3,11
CORR_GZB|SBB,12018,1,79500.0,80160.0,1,2,6
CORR_GZB|SBB,14645,1,58620.0,59400.0,1,3,7
CORR_GZB|SBB,12523,2,41100.0,41880.0,2,3,11
CORR_GZB|SBB,15279,2,41100.0,42060.0,2,3,11
CORR_GZB|SBB,19105,2,21720.0,22500.0,2,3,11
CORR_GZB|SBB,29019,2,22680.0,23580.0,2,3,11
CORR_GZB|SBB,19601,1,55260.0,55680.0,1,3,7
CORR_GZB|SBB,12427,2,21600.0,22380.0,2,3,11
CORR_GZB|SBB,12553,2,21000.0,21720.0,2,3,11
CORR_GZB|SBB,12288,1,45000.0,45900.0,1,3,7
CORR_GZB|SBB,19566,1,45000.0,45780.0,1,3,7
CORR_BDI|BSL,11037,2,240.0,1500.0,2,0,8
CORR_JL|TRW,18610,2,480.0,840.0,2,0,8
CORR_BDI|TRW,18610,2,840.0,1020.0,2,0,8
CORR_BDI|BSL,18610,2,1020.0,1500.0,2,0,8
CORR_GZB|SBB,12454,1,58920.0,59220.0,1,3,7
CORR_GZB|SBB,22409,2,40920.0,41880.0,2,3,11
CORR_JL|TRW,12629,2,57720.0,58200.0,2,3,11
CORR_BDI|TRW,12629,2,58200.0,58440.0,2,3,11
CORR_BDI|BSL,12629,2,58440.0,59220.0,2,3,11
CORR_GZB|SBB,14555,1,73980.0,74460.0,1,3,7
CORR_KYN|THK,11030,1,68100.0,68340.0,1,3,7
CORR_DI|THK,11030,1,68340.0,68460.0,1,3,7
CORR_DI|THK,12137,1,73800.0,73920.0,1,3,7
CORR_KYN|THK,12137,1,73920.0,74100.0,1,3,7
CORR_JL|TRW,12143,2,540.0,840.0,2,0,8
CORR_BDI|TRW,12143,2,840.0,1020.0,2,0,8
CORR_BDI|BSL,12143,2,1020.0,1500.0,2,0,8
CORR_BDI|BSL,11040,1,64500.0,65400.0,1,3,7
CORR_BDI|TRW,11040,1,65400.0,65700.0,1,3,7
CORR_JL|TRW,11040,1,65700.0,66240.0,1,3,7
CORR_BDI|BSL,11040-Slip,1,64500.0,65400.0,1,3,7
CORR_BDI|TRW,11040-Slip,1,65400.0,65700.0,1,3,7
CORR_JL|TRW,11040-Slip,1,65700.0,66240.0,1,3,7
CORR_GZB|SBB,12003,1,77220.0,77880.0,1,3,7
CORR_GZB|SBB,12368,1,53160.0,53580.0,1,3,7
CORR_KYN|THK,17018,2,17400.0,17640.0,2,3,11
CORR_DI|THK,17018,2,17640.0,17760.0,2,3,11
CORR_GZB|SBB,12349,2,45600.0,45960.0,2,3,11
CORR_GZB|SBB,12309,2,26340.0,26640.0,2,3,11
CORR_GZB|SBB,18102-Slip,2,19320.0,20100.0,2,3,11
CORR_JL|TRW,19051,2,13200.0,14040.0,2,1,9
CORR_BDI|TRW,19051,2,14040.0,14520.0,2,1,9
CORR_BDI|BSL,19051,2,14520.0,15900.0,2,3,11
CORR_DI|THK,16613,1,69540.0,69660.0,1,3,7
CORR_KYN|THK,16613,1,69660.0,70800.0,1,3,7
CORR_DI|THK,17203,1,69720.0,69900.0,1,3,7
CORR_KYN|THK,17203,1,69900.0,70800.0,1,3,7
CORR_DI|THK,11049,2,17760.0,17880.0,2,3,11
CORR_KYN|THK,11049,2,17880.0,18900.0,2,3,11
CORR_GZB|SBB,12330,1,69660.0,70020.0,1,3,7
CORR_GZB|SBB,13040,1,57840.0,59100.0,1,3,7
CORR_BDI|BSL,12782,2,600.0,1380.0,2,0,8
CORR_BDI|TRW,12782,2,1380.0,1620.0,2,0,8
CORR_JL|TRW,12782,2,1620.0,2100.0,2,0,8
CORR_BDI|BSL,11016,2,70800.0,71700.0,2,3,11
CORR_BDI|TRW,11016,2,71700.0,72000.0,2,3,11
CORR_JL|TRW,11016,2,72000.0,72480.0,2,3,11
CORR_BDI|BSL,11062,2,69000.0,69780.0,2,3,11
CORR_BDI|TRW,11062,2,69780.0,70020.0,2,3,11
CORR_JL|TRW,11062,2,70020.0,70440.0,2,3,11
CORR_GZB|SBB,12304,1,60360.0,60960.0,1,3,7
CORR_GZB|SBB,12382,1,60360.0,60960.0,1,3,7
CORR_GZB|SBB,03686,1,69660.0,70020.0,1,3,7
CORR_BDI|BSL,12150,2,158400.0,159180.0,2,3,11
CORR_BDI|TRW,12150,2,159180.0,159420.0,2,3,11
CORR_JL|TRW,12150,2,159420.0,159900.0,2,3,11
CORR_GZB|SBB,12324,1,26700.0,27060.0,1,3,7
CORR_BDI|BSL,12870,2,55200.0,55920.0,2,3,11
CORR_BDI|TRW,12870,2,55920.0,56160.0,2,3,11
CORR_JL|TRW,12870,2,56160.0,56580.0,2,3,11
CORR_KYN|THK,12870,2,80100.0,80340.0,2,2,10
CORR_DI|THK,12870,2,80340.0,80400.0,2,2,10
CORR_GZB|SBB,12259,2,39300.0,39600.0,2,3,11
CORR_BDI|BSL,12335,2,43500.0,44160.0,2,3,11
CORR_BDI|TRW,12335,2,44160.0,44400.0,2,3,11
CORR_JL|TRW,12335,2,44400.0,44820.0,2,3,11
CORR_KYN|THK,12335,2,68700.0,68880.0,2,3,11
CORR_DI|THK,12335,2,68880.0,69000.0,2,3,11
CORR_BDI|BSL,14314,2,43500.0,44220.0,2,3,11
CORR_BDI|TRW,14314,2,44220.0,44460.0,2,3,11
CORR_JL|TRW,14314,2,44460.0,44880.0,2,3,11
CORR_KYN|THK,14314,2,68700.0,68880.0,2,3,11
CORR_DI|THK,14314,2,68880.0,69000.0,2,3,11
CORR_JL|TRW,12103,2,120.0,480.0,2,0,8
CORR_BDI|TRW,12103,2,480.0,720.0,2,0,8
CORR_BDI|BSL,12103,2,720.0,1200.0,2,0,8
CORR_BDI|BSL,12780,2,26400.0,27120.0,2,3,11
CORR_BDI|TRW,12780,2,27120.0,27300.0,2,3,11
CORR_JL|TRW,12780,2,27300.0,27720.0,2,3,11
CORR_JL|TRW,12905,2,9600.0,10260.0,2,1,9
CORR_BDI|TRW,12905,2,10260.0,10620.0,2,1,9
CORR_BDI|BSL,12905,2,10620.0,11700.0,2,1,9
CORR_GZB|SBB,12911,2,41280.0,42000.0,2,3,11
CORR_BDI|BSL,12541,2,72300.0,73020.0,2,3,11
CORR_BDI|TRW,12541,2,73020.0,73260.0,2,3,11
CORR_JL|TRW,12541,2,73260.0,73740.0,2,3,11
CORR_KYN|THK,16352,2,70800.0,70980.0,2,3,11
CORR_DI|THK,16352,2,70980.0,71100.0,2,3,11
CORR_KYN|THK,11050,1,80700.0,80880.0,1,2,6
CORR_DI|THK,11050,1,80880.0,81000.0,1,2,6
CORR_GZB|SBB,22812,1,63060.0,63360.0,1,3,7
CORR_GZB|SBB,14312,2,55380.0,56160.0,2,3,11
CORR_GZB|SBB,14322,2,55440.0,56160.0,2,3,11
CORR_DI|THK,16531,2,2400.0,2580.0,2,0,8
CORR_KYN|THK,16531,2,2580.0,3900.0,2,0,8
CORR_GZB|SBB,22688,1,47700.0,49020.0,1,3,7
CORR_JL|TRW,12145,2,12000.0,12360.0,2,1,9
CORR_BDI|TRW,12145,2,12360.0,12600.0,2,1,9
CORR_BDI|BSL,12145,2,12600.0,13200.0,2,1,9
CORR_JL|TRW,12129,2,9300.0,10140.0,2,1,9
CORR_BDI|TRW,12129,2,10140.0,10620.0,2,1,9
